Date,ABEV3.SA,BTOW3.SA,B3SA3.SA,BBSE3.SA,BRML3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CCRO3.SA,CMIG4.SA,CIEL3.SA,CPLE6.SA,CSAN3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,EGIE3.SA,EQTL3.SA,YDUQ3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HYPE3.SA,IGTA3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,RENT3.SA,LAME4.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PETR3.SA,PETR4.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,SBSP3.SA,SANB11.SA,CSNA3.SA,SMLS3.SA,SUZB3.SA,TAEE11.SA,VIVT4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VVAR3.SA,WEGE3.SA
15-09-17,19.94930267,21.07299995,21.40496826,22.36909676,14.05898476,23.5679512,23.05968475,21.87961769,29.48550415,34.77296066,46.36999893,16.48302269,7.123825073,19.27179909,25.94944,36.66226959,41.2857666,12.18094349,10.32474995,18.79515648,21.15778923,18.35839844,13.62601852,23.28311157,12.04463482,25.63615227,25.77151299,11.58524036,5.524866581,13.5,29.35190773,38.5418129,8.45807457,25.36233711,8.602770805,17.24928856,18.94835091,19.38881493,30.56040001,2.365280151,7.170000076,10.68761921,25.16194534,14.60975838,13.95264912,32.43415451,14.45643997,10.19999981,30.69364166,24.72293282,9.003728867,51.69584274,19.28943443,18.08759689,40.15696335,36.51424789,8.419182777,30.05465698,7.54267025,16.81090164
18-09-17,19.70760536,20.70730019,21.54084587,22.22584915,14.01283169,23.38560486,23.25883293,21.99007797,29.89177895,34.85735703,46.45000076,16.16571236,7.267263412,18.97763634,25.91436005,35.98230743,41.24671173,12.39875889,10.18829918,19.05694199,21.30382347,18.31891441,13.34672832,23.64611626,12.12792301,25.06945992,25.66424561,11.68051529,5.638390064,13.81000042,29.4861393,37.99053574,8.510814667,25.54247665,8.262547493,16.93809128,18.74878311,19.61277771,30.827425,2.310117483,7.099999905,10.62883759,24.56725693,14.7504158,13.95264912,32.68093491,14.43191624,10.5,30.51034164,24.74012375,9.310767174,51.19802475,19.28943443,18.06433678,40.17244339,36.3404808,9.020553589,30.45479393,7.323753834,17.36193275
19-09-17,19.89352608,20.4897995,21.98470688,21.86396027,14.02206135,23.58150291,23.32955551,21.84562874,29.85721397,35.54944229,46.5,16.16571236,7.036179543,18.85184669,25.61619186,35.94504547,40.84644699,12.1223011,10.3065567,18.80388641,21.65602303,18.33870125,13.28748131,23.43595695,12.10899353,25.06046486,25.25304222,11.33753014,5.496485233,13.76000023,30.00516701,38.19013977,8.480710983,25.44952965,8.184782982,17.16926575,19.10806274,19.59323502,30.05241585,2.241879702,6.96999979,10.7170496,24.58957863,14.7973032,14.04541874,33.24500656,14.48096561,10.56999969,29.83212852,24.585392,9.045219421,50.47338104,19.28943443,17.57590485,40.68310165,36.39683914,8.923558235,30.16135788,7.473015308,17.22973824
20-09-17,19.9678936,20.19330025,22.4557457,21.81118584,13.73589611,23.39229584,23.19462776,21.40379143,30.04737854,37.9295311,46.88999939,15.95131111,7.14773798,18.38222504,25.99328423,36.32694244,41.13932419,12.39038181,10.1064291,19.19651794,22.02540588,17.96282387,13.24516582,23.24490356,11.98216915,25.72610474,26.01286888,11.27083874,5.392420769,13.56999969,30.13045311,37.9240036,8.397790909,25.18209839,8.097296715,17.10703087,18.76106834,19.15507889,29.90597534,2.146638155,6.920000076,10.56269836,24.01396561,15.35993767,14.72264004,33.67687607,14.20553303,10.48999977,30.77612877,24.43065453,8.754776955,50.41037369,19.28943443,17.59916496,40.57478333,36.67861938,9.069051743,29.49446487,7.482965946,16.64928055
21-09-17,19.85634232,20.26250076,22.62785149,21.6302433,13.56973648,23.16938019,23.2010746,20.81749916,30.70434952,37.41469193,47.11999893,15.76264,7.107889175,18.0970993,25.86174011,36.24311447,40.91478348,12.34011745,10.20649338,18.54210281,21.226511,17.95293236,13.10975266,23.04747772,11.73608875,26.7425518,26.60285568,11.00407314,5.316738129,14.09000015,30.06780815,38.0190506,8.40533638,25.21697998,8.009811401,17.02700233,18.95144653,18.85313797,29.80263138,2.164544106,6.820000172,10.56269836,23.91227913,15.1723938,14.53710079,33.13924789,14.2753334,10.39000034,30.71197128,24.18136597,8.497528076,50.29064178,19.28943443,17.34331512,40.23433304,36.51424789,9.233943939,28.90759659,7.562571526,16.49493217
22-09-17,20.00507927,20.4897995,22.6369133,21.67547989,13.38511467,23.17614937,23.14323044,20.56259346,30.51417351,36.84076691,47.08000183,15.53966808,6.908676624,17.94615364,25.65127182,35.20919037,41.11003494,12.20607567,10.06094646,18.32396507,21.11483765,17.84412956,12.92355919,22.95832062,11.74555302,27.3452282,26.65648651,10.77541637,5.22213316,13.73999977,29.57563019,37.78142929,8.390241623,25.30417633,8.087575912,17.1425972,18.73030472,19.01876259,29.80263138,2.133836985,6.75,10.42306328,23.83272171,15.19114685,14.55565453,33.06873322,14.08290958,10.84000015,31.37185097,24.67995071,8.06601429,50.66242599,19.28943443,17.38983536,39.69272614,36.71149445,9.117548943,28.37408638,7.343655586,16.13492966
25-09-17,19.98648643,19.73859978,22.03000069,21.65286064,13.15433788,22.83171463,22.75131798,19.95081329,30.08196449,35.87860107,45.75,15.3767252,6.56603384,17.56878281,25.3004837,35.21850967,39.91900253,11.61964798,9.906301498,17.86150169,20.7368679,17.80456161,12.77968121,22.82458115,11.56194115,25.72610474,25.77151299,10.45148849,4.957242489,13.35000038,29.44139862,36.91650009,8.299775124,25.05418396,8.000090599,17.00922203,18.61522293,18.52207756,29.76847267,2.041434526,6.670000076,9.996714592,23.4034462,15.30367565,14.69480991,33.75619507,14.00367546,11.14000034,31.02358246,24.29311752,7.800465107,49.58490372,19.28943443,17.15724564,39.56119156,36.61756516,7.982705116,27.64495087,7.134689808,16.0320549
26-09-17,19.68901253,19.27409935,21.75824547,21.75087357,13.20049286,22.70331192,22.72561836,20.09526062,30.25484276,36.19088745,45.75,15.09371281,6.414637089,18.14741898,25.05493355,35.15330505,39.53826904,11.55262661,10.00636578,17.87895775,20.7368679,17.81445694,12.87277889,23.22579575,11.67930222,26.62561798,26.26316452,10.58486938,5.014005661,13.10999966,29.22662544,36.55531693,8.292229652,25.10074806,8.145900726,16.41349983,18.36264229,18.52207756,29.95830345,2.103703499,6.659999847,10.15842438,23.31758499,15.13488388,14.43505383,32.9894104,14.01687908,11.35000038,30.66614532,23.90628624,7.875150681,50.19612503,19.28943443,16.82386971,39.49929047,36.67861938,8.108799934,28.00951958,7.015280724,15.68676376
27-09-17,19.614645,19.83749962,21.42308998,21.48699379,13.01587105,22.5277462,22.48788643,20.30768394,30.09925079,35.48192215,45.88000107,14.84501171,6.3110466,17.83713341,24.39720917,34.02623749,38.02507401,11.21752644,9.924495697,17.36412239,19.80052948,18.24967575,12.97433758,22.85642815,11.57140541,26.58963585,26.27210617,10.63250637,4.938322544,12.85000038,28.90447426,36.94501495,8.171613693,25.11819267,8.213945389,16.67135239,18.11617661,18.11303902,29.76847267,1.942208529,6.590000153,10.01143169,23.25557518,14.89107609,14.20312786,32.3107605,13.86218452,11.59000015,30.01543236,23.72576523,7.692586899,47.82684326,19.28943443,16.82386971,38.83387756,35.87084579,7.730517864,28.3918705,6.856068134,15.51044369
28-09-17,19.57745934,19.88689995,21.22380447,21.50961304,12.83124733,22.22369576,22.20512962,20.16323662,29.84856606,35.55788422,45.59000015,14.93076992,6.414637089,18.02162933,24.69537926,33.53256607,39.24539185,11.20077038,10.05184937,17.05878067,19.45691872,17.82434464,12.69504833,23.14300728,11.58465672,27.66006088,26.129076,10.34668541,4.843718052,12.69999981,28.51072693,36.11809921,8.156537056,24.98443222,8.019532204,16.28012657,17.86669922,18.23967743,30.20858574,2.011583328,6.389999866,9.871713638,23.02876854,14.91920567,14.23095798,32.3107605,13.99438667,11.69999981,29.90544891,23.46787453,7.534916401,48.48217392,19.28943443,16.90139389,38.88030624,35.45286942,7.361936092,28.23181534,7.244147778,15.48837757
